brandName,modelName,bodyStyleName,cylinderCapacityValue,enginePowerValue,mileageValue,accident,age,sellingPrice
Mazda,2,Berline,1349,55,62000,0, 6.50 ,6750
Mercedes-Benz,CLA 180,Berline,1595,90,26587,0, 0.74 ,25499
Audi,A1,Berline,1422,66,67000,0, 2.16 ,14750
Opel,Astra,Break,1598,81,38000,0, 1.58 ,16495
Jeep,Grand Cherokee,4x4,2987,140,95000,0, 4.58 ,24990
Skoda,Roomster,Monovolume/Camionnette,1422,51,55000,0, 9.50 ,5950
Volvo,S90,Berline,1969,140,29900,0, 1.16 ,42000
BMW,316 Touring,Break,1995,85,99900,0, 4.25 ,14990
Volvo,C70,Cabriolet,1984,110,84000,0, 4.83 ,19900
Ford,Mondeo,Berline,1997,100,57686,0, 3.74 ,15500
Volkswagen,Golf Cabriolet,Cabriolet,1198,77,59892,0, 6.16 ,14900
Volvo,V60,Break,1969,88,22000,0, 1.08 ,24990
BMW,320 Touring,Break,1995,120,163258,0, 4.50 ,14500
Kia,Sportage,4x4,1685,85,30054,0, 1.41 ,21900
Volkswagen,up!,Berline,999,55,10000,0, 2.16 ,10300
Volkswagen,Multivan T6 Dsl,Monovolume/Camionnette,1968,110,17500,0, 1.33 ,37490
Audi,A5,Cabriolet,1968,130,99954,0, 4.67 ,26900
Porsche,968,Coupe,2990,176,155000,0, 24.84 ,39968
Opel,Corsa,Berline,1686,55,63000,0, 15.09 ,2700
Alfa Romeo,159,Break,2387,147,114000,0, 11.67 ,2600
Audi,A4,Berline,1968,120,45000,0, 3.91 ,23999
Citroen,C4 Picasso,Monovolume/Camionnette,1560,82,107000,0, 7.83 ,5550
Volvo,V40,Berline,1969,90,1075,0, 0.91 ,20850
Chevrolet,Spark,Berline,995,50,54000,0, 4.91 ,4999
Peugeot,2008,4x4,1199,60,26256,0, 2.91 ,12900
Volkswagen,Golf VII,Berline,1598,77,88259,0, 3.99 ,13990
Ferrari,330,Coupe,3999,221,43970,0, 53.03 ,259000
BMW,316 Touring,Break,1995,85,80000,0, 2.33 ,17950
Peugeot,2008,4x4,1560,74,12002,0, 1.33 ,17700
Nissan,Qashqai,4x4,1461,81,95000,0, 3.74 ,11999
Peugeot,208,Berline,999,50,41000,0, 3.08 ,8970
Audi,A4,Break,1968,100,115000,0, 5.25 ,13995
BMW,116 5-TÍ_rer,Berline,1995,85,107000,0, 7.50 ,7950
Volkswagen,Caddy,Monovolume/Camionnette,1968,75,44500,0, 1.66 ,18750
Alfa Romeo,Giulietta,Berline,1598,77,119000,0, 6.16 ,8900
Citroen,C4 Aircross,Berline,1560,84,131000,0, 4.67 ,13900
Volkswagen,Passat Variant,Break,1598,88,15000,0, 0.82 ,27790
BMW,320 Touring,Break,1995,135,59496,0, 2.33 ,23990
Renault,Captur,4x4,1461,66,67250,0, 4.08 ,9995
BMW,X3,4x4,1995,120,94000,0, 6.67 ,20000
Peugeot,108,Berline,998,51,8200,0, 2.83 ,7990
BMW,318 Touring,Break,1995,100,75000,0, 4.16 ,17950
Skoda,Octavia,Berline,1598,77,69500,0, 3.83 ,13999
Renault,Modus,Monovolume/Camionnette,1149,58,18155,0, 8.25 ,6800
Nissan,Qashqai,4x4,1598,96,49000,0, 1.83 ,19350
Honda,Civic,Berline,1597,88,7000,0, 0.91 ,16500
Ford,Kuga,4x4,1998,110,19000,0, 1.58 ,23680
Volkswagen,Caddy,Berline,1598,75,22400,0, 3.67 ,15000
Volkswagen,TRANSPORTER T6 800 FOU SWB HR DSL,Van,1968,84,10000,0, 0.33 ,27900
BMW,318 Limousine,Berline,1995,105,84000,0, 5.58 ,14990
Opel,Astra,Berline,1598,81,39500,0, 1.83 ,18438
Volvo,V40,Break,1969,88,20563,0, 1.22 ,17900
Mercedes-Benz,GLC 220,4x4,2143,125,3800,0, 1.74 ,48900
Opel,Combo,Monovolume/Camionnette,1248,66,120000,0, 4.99 ,5250
Volvo,C30,Coupe,1560,80,109987,0, 7.92 ,9450
Renault,Clio,Berline,1461,66,69438,0, 4.74 ,9500
Volvo,1800 E Coupe,Coupe,1778,97,66000,0, 46.11 ,28450
Volkswagen,Golf,Berline,1896,77,198000,0, 9.50 ,4900
BMW,318 Limousine,Berline,1995,110,25898,0, 1.16 ,31990
Volkswagen,Golf,Berline,1598,66,62000,0, 2.74 ,11975
BMW,525 Limousine,Berline,2497,130,135572,0, 12.75 ,7999
Volkswagen,Caddy,Monovolume/Camionnette,1984,80,19600,0, 4.99 ,14500
Volkswagen,Golf,Berline,1598,77,99000,0, 4.25 ,12490
Fiat,500C,Cabriolet,1242,51,50500,0, 7.33 ,7790
Volkswagen,Beetle,Cabriolet,1197,77,72100,0, 3.33 ,17990
Renault,Megane,Berline,1461,66,57470,0, 5.08 ,11150
Alfa Romeo,Giulia,Berline,2891,375,6000,0, 0.24 ,72900
Audi,A4,Break,1968,110,75000,0, 4.33 ,18490
Isuzu,D-Max,4x4,2500,120,38000,0, 2.91 ,28435
Peugeot,107,Compacte,998,50,33031,0, 3.83 ,6500
Renault,Master,Van,2293,107,44216,0, 5.41 ,13500
Peugeot,108,Berline,998,51,5215,0, 1.80 ,9990
Audi,A1,Compacte,999,70,1975,0, 1.08 ,18999
Peugeot,407,Berline,1997,120,45442,0, 7.67 ,9800
BMW,420 Coupe,Coupe,1995,135,18000,0, 3.41 ,31850
Audi,A4,Break,1968,88,65000,0, 4.50 ,19990
Opel,Corsa,Berline,973,44,125000,0, 13.42 ,2190
Peugeot,107,Berline,998,50,51000,0, 5.50 ,4550
Porsche,Panamera,Berline,4806,368,68000,0, 6.50 ,54900
Renault,Kangoo,Monovolume/Camionnette,1461,78,69000,0, 8.75 ,5850
Mercedes-Benz,Sprinter,Van,2200,70,118000,0, 6.83 ,11650
BMW,530 Limousine,Berline,2993,180,168000,0, 7.25 ,17000
Volkswagen,Polo,Berline,1198,51,112599,0, 4.99 ,7900
Volkswagen,Golf,Berline,1595,66,105000,0, 6.50 ,9900
Audi,A3,Cabriolet,1968,110,56829,0, 3.50 ,24950
Peugeot,308,Compacte,1560,84,66000,0, 3.96 ,16950
BMW,320 Limousine,Berline,1995,120,55000,0, 5.33 ,20999
Peugeot,308,Compacte,1560,85,10810,0, 1.01 ,24290
Alfa Romeo,MiTo,Berline,1368,99,69300,0, 6.92 ,6990
Mercedes-Benz,ML 63 AMG,4x4,6208,375,65000,0, 9.58 ,33900
BMW,114 5-TÍ_rer,Berline,1598,70,52000,0, 3.99 ,10790
Nash,perfect restauration,Compacte,1295,60,61200,0, 57.28 ,14850
Kia,Sorento,4x4,2199,147,15000,0, 1.16 ,39999
Peugeot,2008,Berline,1560,55,25215,0, 2.25 ,14500
